comment_id,text,source,date,likes,shares,word_count,year,cleaned_text,corrected_text,tokens,topic,topic_name,sentiment,sentiment_score,year_month
comment_001,Education about plastic waste is crucial #recycling,Mail Online,2020-03-17,227,44,7,2020,education about plastic waste is crucial recycling,education about plastic waste is crucial recycling,"['educ', 'plastic', 'wast', 'crucial', 'recycl']",0,Plastic Product,negative,-0.10819199695445972,2020-03
comment_002,More research needed on plastic alternatives,Mail Online,2019-08-18,255,141,6,2019,more research needed on plastic alternatives,more research needed on plastic alternatives,"['research', 'need', 'plastic', 'altern']",5,Other,neutral,0.0,2019-08
comment_003,Microplastics are in our food and water this is terrifying,Mail Online,2019-08-02,159,120,10,2019,microplastics are in our food and water this is terrifying,microplastics are in our food and water this is terrifying,"['microplast', 'food', 'water', 'terrifi']",3,Family,negative,-0.14607992312427026,2019-08
comment_004,Plastic awareness campaigns are effective??,Mail Online,2021-08-08,50,40,5,2021,plastic awareness campaigns are effective,plastic awareness campaigns are effective,"['plastic', 'awar', 'campaign', 'effect']",1,Shopping,positive,0.13713819415013084,2021-08
comment_005,@GreenPeace Young activists are leading the movement 🤔,BBC News,2020-12-16,29,136,8,2020,greenpeace young activists are leading the movement,greenpeace young activists are leading the movement,"['greenpeac', 'young', 'activist', 'lead', 'movement']",5,Other,neutral,0.0,2020-12
comment_006,Microplastics are in our food and water this is terrifying 🤔 #zerowaste http://www.greenpeace.org/plastic,Guardian ,2020-05-10,252,77,13,2020,microplastics are in our food and water this is terrifying zerowaste http www greenpeace org plastic,microplastics are in our food and water this is terrifying zerowaste http www greenpeace org plastic,"['microplast', 'food', 'water', 'terrifi', 'zerowast', 'http', 'www', 'greenpeac', 'org', 'plastic']",3,Family,negative,-0.14607992312427026,2020-05
comment_007,Local recycling programs vary too much https://bit.ly/3plastikfacts...,Guardian ,2019-08-29,157,109,7,2019,local recycling programs vary too much bit ly plastikfacts,local recycling programs vary too much bit ly plastikfacts,"['local', 'recycl', 'program', 'vari', 'much', 'bit', 'plastikfact']",1,Shopping,neutral,0.0,2019-08
comment_008,Plastic waste in rivers flows to oceans 😡,BBC News,2020-02-21,67,65,8,2020,plastic waste in rivers flows to oceans,plastic waste in rivers flows to oceans,"['plastic', 'wast', 'river', 'flow', 'ocean']",3,Family,negative,-0.10819199695445972,2020-02
comment_009,Innovations in recycling technology give hope,BBC News,2023-12-05,137,40,6,2023,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']",2,Policy,positive,0.11298269581619674,2023-12
comment_010,Marine animals suffer the most from plastic!!!,Mail Online,2018-07-28,120,67,7,2018,marine animals suffer the most from plastic,marine animals suffer the most from plastic,"['marin', 'anim', 'suffer', 'plastic']",3,Family,negative,-0.1672720771032334,2018-07
comment_011,Great to see biodegradable ALTERNATIVES becoming available 🐠??,BBC News,2022-03-16,157,15,8,2022,great to see biodegradable alternatives becoming available,great to see biodegradable alternatives becoming available,"['great', 'see', 'biodegrad', 'altern', 'becom', 'avail']",5,Other,positive,0.16952245316579861,2022-03
comment_012,@UNEnvironment The Great Pacific Garbage Patch is mostly plastic,Guardian ,2023-11-20,337,21,9,2023,unenvironment the great pacific garbage patch is mostly plastic,unenvironment the great pacific garbage patch is mostly plastic,"['unenviron', 'great', 'pacif', 'garbag', 'patch', 'mostli', 'plastic']",5,Other,positive,0.15928840365580269,2023-11
comment_013,Waste management systems NEED improvement,BBC News,2021-03-12,61,112,5,2021,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']",4,Food,neutral,0.013321880419885508,2021-03
comment_014,@UNEnvironment Plastic in fashion is a growing problem!!!,Guardian ,2020-02-24,95,86,8,2020,unenvironment plastic in fashion is a growing problem,unenvironment plastic in fashion is a growing problem,"['unenviron', 'plastic', 'fashion', 'grow', 'problem']",0,Plastic Product,negative,-0.11184275492844374,2020-02
comment_015,Innovations in recycling technology give hope,Guardian ,2023-03-03,337,88,6,2023,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']",2,Policy,positive,0.11298269581619674,2023-03
comment_016,@DavidAttenborough Great to see biodegradable alternatives becoming available http://www.greenpeace.org/plastic,BBC News,2023-06-20,49,69,9,2023,davidattenborough great to see biodegradable alternatives becoming available http www greenpeace org plastic,davidattenborough great to see biodegradable alternatives becoming available http www greenpeace org plastic,"['davidattenborough', 'great', 'see', 'biodegrad', 'altern', 'becom', 'avail', 'http', 'www', 'greenpeac', 'org', 'plastic']",5,Other,positive,0.15928840365580269,2023-06
comment_017,@UNEnvironment Plastic bottles take hundreds of years to decompose http://www.greenpeace.org/plastic,Mail Online,2017-03-04,33,122,10,2017,unenvironment plastic bottles take hundreds of years to decompose http www greenpeace org plastic,unenvironment plastic bottles take hundreds of years to decompose http www greenpeace org plastic,"['unenviron', 'plastic', 'bottl', 'take', 'hundr', 'year', 'decompos', 'http', 'www', 'greenpeac', 'org', 'plastic']",5,Other,neutral,0.0,2017-03
comment_018,Biodegradable plastics are not perfect but better,Mail Online,2023-05-22,239,138,7,2023,biodegradable plastics are not perfect but better,biodegradable plastics are not perfect but better,"['biodegrad', 'plastic', 'perfect', 'better']",5,Other,negative,-0.15953682316601675,2023-05
comment_019,Everyone has RESPONSIBILITY to reduce plastic 🚮,BBC News,2018-10-13,242,44,7,2018,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']",1,Shopping,neutral,0.0,2018-10
comment_020,Plastic pollution is destroying our oceans and marine life 🤔 #savetheoceans!!!,Guardian ,2021-08-21,169,134,11,2021,plastic pollution is destroying our oceans and marine life savetheoceans,plastic pollution is destroying our oceans and marine life savetheoceans,"['plastic', 'pollut', 'destroy', 'ocean', 'marin', 'life', 'savetheocean']",3,Family,negative,-0.1699425604107047,2021-08
comment_021,Many countries have banned single-use plastic bags https://bit.ly/3plasticfacts,Guardian ,2018-04-26,280,65,8,2018,many countries have banned single use plastic bags bit ly plasticfacts,many countries have banned single use plastic bags bit ly plasticfacts,"['mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag', 'bit', 'plasticfact']",5,Other,negative,-0.1176391019751336,2018-04
